STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/30/2010,4.7,0,0,,89,68,1,,,,,,1,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/31/2010,9.17,0,0,,91,71,1,,,,,,1,1,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/1/2010,10.29,0.06,0,,87,73,,,1,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/2/2010,6.04,0,0,,89,71,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/3/2010,7.61,0.33,0,,92,71,1,,1,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/4/2010,6.93,0,0,,89,70,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/5/2010,7.83,0,0,,91,73,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/6/2010,10.96,0.03,0,,91,69,,,1,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/7/2010,10.74,0,0,,78,63,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/8/2010,8.5,0,0,,79,60,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/9/2010,9.4,0.06,0,,76,66,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/10/2010,8.05,0.05,0,,90,70,1,,,,,,,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/11/2010,6.71,0,0,,86,67,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/12/2010,9.62,0,0,,93,69,,,1,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/13/2010,8.05,0,0,,94,73,,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/14/2010,7.16,0.27,0,,91,75,1,,,,1,,,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/15/2010,6.71,0.01,0,,82,72,,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/16/2010,7.61,0.02,0,,82,71,,,,,1,,1,1,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",6/17/2010,12.75,0,0,,87,72,,,,,,,,,,,,,,,,,,
